Projects,Type,Status,Priority,Sprint,Epic,Tasks,Timeline,Engineers,Product Manager,Created,URL
학습 리포트 형식,,outline,,,,,,,,"Dec 21, 2020 9:54 AM",
tip,,outline,,,,,,,,"Dec 22, 2020 1:57 PM",
오리엔테이션,,outline,,,,,,,,"Dec 23, 2020 1:08 PM",
생산성,,outline,,,,,,,,"Feb 18, 2021 6:35 PM",
libft,,In Progress,,,,,,,,"Dec 21, 2020 10:55 AM",
get next line,,In Progress,,,,,,,,"Dec 21, 2020 10:56 AM",
netwhat,,In Progress,,,,,"Jan 10, 2021",,,"Dec 30, 2020 10:47 PM",
printf,,In Progress,,,,,,,,"Mar 15, 2021 11:07 AM",
What is the size_t data type in C? - GeeksforGeeks,,,,,,,,,,"Dec 22, 2020 8:45 PM",https://www.geeksforgeeks.org/size_t-data-type-c-language/
Task 🔨,,,,,,,,,,"Dec 21, 2020 9:38 AM",
Bug 🐞,Bug 🐞,,,,,,,,,"Dec 21, 2020 9:38 AM",
Project Spec 🗺,,,,,,,,,,"Dec 21, 2020 9:38 AM",
,,,,,,,,,,"Mar 15, 2021 11:07 AM",
